Header,Date,Description,Link
Check if you need a UK visa,none,"You may need a visa to come to the UK to visit, study or work.","=HYPERLINK(""https://www.gov.uk/check-uk-visa"",""more details"")"
Living in Nigeria,none,"Advice for British people living in Nigeria, including information on health, education, benefits, residence requirements and more. ","=HYPERLINK(""https://www.gov.uk/guidance/living-in-nigeria"",""more details"")"
Nigeria travel advice,none,"Latest travel advice for Nigeria including safety and security, entry requirements, travel warnings and health","=HYPERLINK(""https://www.gov.uk/foreign-travel-advice/nigeria"",""more details"")"
DFID management response to ICAI recommendations on DFID education project in Nigeria.,  9 May 2013 ,DFID response to Independent Commission for Aid Impact recommendations on DFID education project in Nigeria,"=HYPERLINK(""https://www.gov.uk/government/publications/dfid-management-response-to-icai-recommendations-on-dfid-education-project-in-nigeria"",""more details"")"
DFID management response to the ICAI recommendations on DFID's education programmes in Nigeria progress update March 2013,  2 April 2013 ,Progress update March 2013 on the DFID management response to the (ICAI) recommendations on DFID's education programmes in Nigeria.,"=HYPERLINK(""https://www.gov.uk/government/publications/dfid-management-response-to-the-independent-commission-for-aid-impact-icai-recommendations-on-dfids-education-programmes-in-nigeria-progress-report"",""more details"")"
Gender in Nigeria Report 2012, 14 August 2012 ,This report provides a comprehensive view of gender in Nigeria.,"=HYPERLINK(""https://www.gov.uk/government/publications/gender-in-nigeria-report-2012"",""more details"")"
Gender in Nigeria Report 2012 - Summary, 14 August 2012 ,This report provides a summary of gender in Nigeria. ,"=HYPERLINK(""https://www.gov.uk/government/publications/gender-in-nigeria-report-2012-summary"",""more details"")"
Department for International Development, DFID ,"The home of Department for International Development on GOV.UK. The Department for International Development (DFID) leads the UK’s work to end extreme poverty, building a safer, healthier, more prosperous world for all of us…","=HYPERLINK(""https://www.gov.uk/government/organisations/department-for-international-development"",""more details"")"
"Education, horizontal inequalities and ethnic relations in Nigeria.",  1 January 2007 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/education-horizontal-inequalities-and-ethnic-relations-in-nigeria"",""more details"")"
"Islamic education, religious elites and the state in Kano, Nigeria. Summary paper.",  1 January 2009 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/islamic-education-religious-elites-and-the-state-in-kano-nigeria-summary-paper"",""more details"")"
"Accountability and Performance of Government Agencies in the Delivery of Water, Education and Road Services in Nigeria",  1 January 2012 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/accountability-and-performance-of-government-agencies-in-the-delivery-of-water-education-and-road-services-in-nigeria"",""more details"")"
Global School Partnerships local authority grants,none,The grants are designed to create international relationships that can broker and support partnerships focused on global education.,"=HYPERLINK(""https://www.gov.uk/guidance/global-school-partnerships-local-authority-grants"",""more details"")"
"Transformative Education in Violent Contexts: Working with Muslim and Christian Youth in Kaduna, Nigeria",  1 January 2009 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/transformative-education-in-violent-contexts-working-with-muslim-and-christian-youth-in-kaduna-nigeria"",""more details"")"
Christian Rogg,none,"Christian Rogg joined DFID as a Private Sector Advisor in 1999 and subsequently led the Growth Team in DFID’s Policy Division in London before taking up leadership positions in DFID’s offices in Nigeria, Vietnam and Ghana. He started his career in banking in Germany and also worked…","=HYPERLINK(""https://www.gov.uk/government/people/christian-rogg"",""more details"")"
Nigeria - Country case study update, 16 October 2014 ,A country case study update on Nigeria which forms part or the 2013 Human Rights and Democracy Report.,"=HYPERLINK(""https://www.gov.uk/government/case-studies/nigeria-country-case-study-update"",""more details"")"
Country case study: Nigeria – the response to terrorism, 10 April 2014 ,A country case study on the response to terrorism in Nigeria from the 2013 Human Rights and Democracy Report. ,"=HYPERLINK(""https://www.gov.uk/government/case-studies/country-case-study-nigeria-the-response-to-terrorism"",""more details"")"
"Islamic education, the state and madrasa reform: lessons from South Asia and Nigeria. Policy Brief.",  1 January 2010 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/islamic-education-the-state-and-madrasa-reform-lessons-from-south-asia-and-nigeria-policy-brief"",""more details"")"
Minister Wharton emphasises Britain’s support in Nigeria,  5 September 2016 ,International Development Minister James Wharton has returned from his first visit to Nigeria.,"=HYPERLINK(""https://www.gov.uk/government/news/minister-wharton-emphasises-britains-support-in-nigeria"",""more details"")"
MDGs in focus - MDG 2: Achieve universal primary education, 13 September 2010 ,Find out how a DFID funded project is helping to get more girls into schools in Nigeria.,"=HYPERLINK(""https://www.gov.uk/government/case-studies/mdgs-in-focus-mdg-2-achieve-universal-primary-education"",""more details"")"
Exporting to Nigeria, 28 March 2014 ,A guide for British businesses who are interested in developing their overseas trade and doing business in Nigeria.,"=HYPERLINK(""https://www.gov.uk/government/publications/exporting-to-nigeria"",""more details"")"
